commit_message,sha,type,commit_url,annotated_type,masked_commit_message,git_diff,human_label
+          <span class=""ml-3 grey&#45;&#45;text "" style=""font-size: 9px"">Belongs To</span>
 
           <v-list-item v-for=""(bt,i) in belongsTo"" :key=""i"" @click=""addNewRelationTabCtxMenu(bt,'bt')"">
             <span class=""caption text-capitalize"">{{ bt._rtn }}</span>
           </v-list-item>
-        </template>
+        </template>-->
       </v-list>
     </v-menu>
     <v-dialog
",0
"chore: release footer improvements

Signed-off-by: Carlos Alexandro Becker <caarlos0@gmail.com>",0534b4083f69c877f439d2f9b6ece6d339369917,chore,https://github.com/rohankumardubey/goreleaser/commit/0534b4083f69c877f439d2f9b6ece6d339369917,chore,"release footer improvements

Signed-off-by: Carlos Alexandro Becker <caarlos0@gmail.com>","diff --git a/.goreleaser.yml b/.goreleaser.yml
index 115b47d..cc1419a 100644
--- a/.goreleaser.yml
+++ b/.goreleaser.yml
@@ -194,9 +194,11 @@ publishers:
 release:
   discussion_category_name: Announcements
   footer: |
-    ---
+    ## What to do next?
 
-    __Check out [GoReleaser Pro](https://goreleaser.com/pro) as well!__
+    - Check out the [GoReleaser Pro](https://goreleaser.com/pro) distribution;
+    - Join our [Discord server](https://discord.gg/RGEBtg8vQ6);
+    - Read the [documentation](https://goreleaser.com/intro/).
 
 announce:
   twitter:
",0
refactor(lint): fix testBuilds,076b9f5efc109b481074a81957e24ce9f4a69f08,refactor,https://github.com/hobserver/react-module-state/commit/076b9f5efc109b481074a81957e24ce9f4a69f08,test,fix testBuilds,"diff --git a/scripts/testBuilds.js b/scripts/testBuilds.js
index b6d1629..54d6cb1 100644
--- a/scripts/testBuilds.js
+++ b/scripts/testBuilds.js
@@ -17,18 +17,18 @@ function execPromise(cmd) {
 }
 
 async function testBuilds() {
-  await Promise.all[
-    files.map(async file => {
-      const err = await execPromise(`BUNDLE=${file} npm run test`);
-      if (err) {
-        console.error('\x1b[31m', `Error in ${file}`, '\x1b[30m');
-        console.error(err);
-        process.exit(1);
-      } else {
-        console.log(`${file} works as expected`);
-      }
-    })
-  ];
+  // eslint-disable-next-line no-restricted-syntax
+  for (const file of files) {
+    // eslint-disable-next-line no-await-in-loop
+    const err = await execPromise(`BUNDLE=${file} npm run test`);
+    if (err) {
+      console.error('\x1b[31m', `Error in ${file}`, '\x1b[30m');
+      console.error(err);
+      process.exit(1);
+    } else {
+      console.log(`${file} works as expected`);
+    }
+  }
 }
 
 testBuilds();
",0
"chore(ks8): bump version

Signed-off-by: rjshrjndrn <rjshrjndrn@gmail.com>",9a25fe59dfb63d32505afcea3a164ff0b8ea4c71,chore,https://github.com/openreplay/openreplay/commit/9a25fe59dfb63d32505afcea3a164ff0b8ea4c71,build,"bump version

Signed-off-by: rjshrjndrn <rjshrjndrn@gmail.com>","diff --git a/scripts/helmcharts/init.sh b/scripts/helmcharts/init.sh
index 5a2b4b0..69a6944 100644
--- a/scripts/helmcharts/init.sh
+++ b/scripts/helmcharts/init.sh
@@ -26,7 +26,7 @@ usr=$(whoami)
 
 # Installing k3s
 function install_k8s() {
-    curl -sL https://get.k3s.io | sudo K3S_KUBECONFIG_MODE=""644"" INSTALL_K3S_VERSION='v1.22.8+k3s1' INSTALL_K3S_EXEC=""--no-deploy=traefik"" sh -
+    curl -sL https://get.k3s.io | sudo K3S_KUBECONFIG_MODE=""644"" INSTALL_K3S_VERSION='v1.25.6+k3s1' INSTALL_K3S_EXEC=""--disable=traefik"" sh -
     [[ -d ~/.kube ]] || mkdir ~/.kube
     sudo cp /etc/rancher/k3s/k3s.yaml ~/.kube/config
     sudo chmod 0644 ~/.kube/config
",0
style: lint code,16f4f801a7f485d831c7142939f59925d4d63cc4,style,https://github.com/dinerojs/dinero.js/commit/16f4f801a7f485d831c7142939f59925d4d63cc4,style,lint code,"diff --git a/babel.config.js b/babel.config.js
index 3b1d126..965e735 100644
--- a/babel.config.js
+++ b/babel.config.js
@@ -1,13 +1,14 @@
+/* eslint-disable import/no-commonjs, functional/immutable-data, functional/no-expression-statement */
 module.exports = {
   presets: [
     [
-      ""@babel/preset-env"",
+      '@babel/preset-env',
       {
         targets: {
-          node: ""current""
-        }
-      }
+          node: 'current',
+        },
+      },
     ],
-    ""@babel/preset-typescript""
-  ]
+    '@babel/preset-typescript',
+  ],
 };
diff --git a/jest.config.js b/jest.config.js
index f42e27b..6dbfe90 100644
--- a/jest.config.js
+++ b/jest.config.js
@@ -1,10 +1,11 @@
-const { pathsToModuleNameMapper } = require(""ts-jest/utils"");
-const { compilerOptions } = require(""./tsconfig"");
+/* eslint-disable import/no-commonjs, functional/immutable-data, functional/no-expression-statement */
+const { pathsToModuleNameMapper } = require('ts-jest/utils');
+const { compilerOptions } = require('./tsconfig');
 
 module.exports = {
-  preset: ""ts-jest"",
-  testEnvironment: ""node"",
+  preset: 'ts-jest',
+  testEnvironment: 'node',
   moduleNameMapper: pathsToModuleNameMapper(compilerOptions.paths, {
-    prefix: ""<rootDir>/"",
+    prefix: '<rootDir>/',
   }),
 };
diff --git a/packages/core/index.ts b/packages/core/index.ts
index 3bd16e1..8420b10 100644
--- a/packages/core/index.ts
+++ b/packages/core/index.ts
@@ -1 +1 @@
-export * from ""./src"";
+export * from './src';
diff --git a/packages/core/src/calculator/bigint/index.ts b/packages/core/src/calculator/bigint/index.ts
index 9b7f0aa..b6af58b 100644
--- a/packages/core/src/calculator/bigint/index.ts
+++ b/packages/core/src/calculator/bigint/index.ts
@@ -1 +1 @@
-export * from ""./operations"";
+export * from './operations';
diff --git a/packages/core/src/calculator/bigint/operations/__tests__/add.test.ts b/packages/core/src/calculator/bigint/operations/__tests__/add.test.ts
index 27fecdf..34ed4c4 100644
--- a/packages/core/src/calculator/bigint/operations/__tests__/add.test.ts
+++ b/packages/core/src/calculator/bigint/operations/__tests__/add.test.ts
@@ -1,10 +1,10 @@
-import add from ""../add"";
+import add from '../add';
 
-describe(""add"", () => {
-  it(""adds up positive numbers"", () => {
+describe('add', () => {
+  it('adds up positive numbers', () => {
     expect(add(1n, 2n, 3n)).toBe(6n);
   });
-  it(""adds up negative numbers"", () => {
+  it('adds up negative numbers', () => {
     expect(add(-1n, -2n, -3n)).toBe(-6n);
   });
 });
diff --git a/packages/core/src/calculator/bigint/operations/__tests__/distribute.test.ts b/packages/core/src/calculator/bigint/operations/__tests__/distribute.test.ts
index 24318fb..63b0cf5 100644
--- a/packages/core/src/calculator/bigint/operations/__tests__/distribute.test.ts
+++ b/packages/core/src/calculator/bigint/operations/__tests__/distribute.test.ts
@@ -1,22 +1,22 @@
-import distribute from ""../distribute"";
+import distribute from '../distribute';
 
-describe(""distribute"", () => {
-  it(""distributes to percentages"", () => {
+describe('distribute', () => {
+  it('distributes to percentages', () => {
     expect(distribute(1003n, [50n, 50n])).toEqual([502n, 501n]);
   });
-  it(""distributes to ratios"", () => {
+  it('distributes to ratios', () => {
     expect(distribute(100n, [1n, 3n])).toEqual([25, 75]);
   });
-  it(""distributes while ignoring zero ratios"", () => {
+  it('distributes while ignoring zero ratios', () => {
     expect(distribute(1003n, [0n, 50n, 50n])).toEqual([0n, 502n, 501n]);
   });
-  it.only(""distributes to zero ratios"", () => {
+  it('distributes to zero ratios', () => {
     expect(distribute(1003n, [0n, 0n])).toEqual([0n, 0n]);
   });
-  it(""distributes to negative ratios"", () => {
+  it('distributes to negative ratios', () => {
     expect(distribute(1003n, [-50n, -50n])).toEqual([-502n, -501n]);
   });
-  it(""distributes to empty ratios"", () => {
+  it('distributes to empty ratios', () => {
     expect(distribute(1003n, [])).toEqual([]);
   });
 });
diff --git a/packages/core/src/calculator/bigint/operations/__tests__/divide.test.ts b/packages/core/src/calculator/bigint/operations/__tests__/divide.test.ts
index f6416eb..2aaaa75 100644
--- a/packages/core/src/calculator/bigint/operations/__tests__/divide.test.ts
+++ b/packages/core/src/calculator/bigint/operations/__tests__/divide.test.ts
@@ -1,10 +1,10 @@
-import divide from ""../divide"";
+import divide from '../divide';
 
-describe(""divide"", () => {
-  it(""divides positive numbers"", () => {
+describe('divide', () => {
+  it('divides positive numbers', () => {
     expect(divide(8n, 4n, 2n)).toBe(1n);
   });
-  it(""divides negative numbers"", () => {
+  it('divides negative numbers', () => {
     expect(divide(-8n, -4n, -2n)).toBe(-1n);
   });
 });
diff --git a/packages/core/src/calculator/bigint/operations/__tests__/maximum.test.ts b/packages/core/src/calculator/bigint/operations/__tests__/maximum.test.ts
index a08496a..74e93f0 100644
--- a/packages/core/src/calculator/bigint/operations/__tests__/maximum.test.ts
+++ b/packages/core/src/calculator/bigint/operations/__tests__/maximum.test.ts
@@ -1,10 +1,10 @@
-import maximum from ""../maximum"";
+import maximum from '../maximum';
 
-describe(""maximum"", () => {
-  it(""gets the greatest from positive numbers"", () => {
+describe('maximum', () => {
+  it('gets the greatest from positive numbers', () => {
     expect(maximum(5n, 3n, 2n)).toBe(5n);
   });
-  it(""gets the greatest from negative numbers"", () => {
+  it('gets the greatest from negative numbers', () => {
     expect(maximum(-5n, -4n, -2n)).toBe(-2n);
   });
 });
diff --git a/packages/core/src/calculator/bigint/operations/__tests__/minimum.test.ts b/packages/core/src/calculator/bigint/operations/__tests__/minimum.test.ts
index af9b725..b2e0d9a 100644
--- a/packages/core/src/calculator/bigint/operations/__tests__/minimum.test.ts
+++ b/packages/core/src/calculator/bigint/operations/__tests__/minimum.test.ts
@@ -1,10 +1,10 @@
-import minimum from ""../minimum"";
+import minimum from '../minimum';
 
-describe(""minimum"", () => {
-  it(""gets the lowest from positive numbers"", () => {
+describe('minimum', () => {
+  it('gets the lowest from positive numbers', () => {
     expect(minimum(5n, 3n, 2n)).toBe(2n);
   });
-  it(""gets the lowest from negative numbers"", () => {
+  it('gets the lowest from negative numbers', () => {
     expect(minimum(-5n, -4n, -2n)).toBe(-5n);
   });
 });
diff --git a/packages/core/src/calculator/bigint/operations/__tests__/modulo.test.ts b/packages/core/src/calculator/bigint/operations/__tests__/modulo.test.ts
index 338c0eb..53292b7 100644
--- a/packages/core/src/calculator/bigint/operations/__tests__/modulo.test.ts
+++ b/packages/core/src/calculator/bigint/operations/__tests__/modulo.test.ts
@@ -1,10 +1,10 @@
-import modulo from ""../modulo"";
+import modulo from '../modulo';
 
-describe(""modulo"", () => {
-  it(""performs a modulo with positive numbers"", () => {
+describe('modulo', () => {
+  it('performs a modulo with positive numbers', () => {
     expect(modulo(5n, 3n, 2n)).toBe(0n);
   });
-  it(""performs a modulo with negative numbers"", () => {
+  it('performs a modulo with negative numbers', () => {
     expect(modulo(-5n, -4n, -2n)).toBe(-1n);
   });
 });
diff --git a/packages/core/src/calculator/bigint/operations/__tests__/multiply.test.ts b/packages/core/src/calculator/bigint/operations/__tests__/multiply.test.ts
index b3370e4..fa93f92 100644
--- a/packages/core/src/calculator/bigint/operations/__tests__/multiply.test.ts
+++ b/packages/core/src/calculator/bigint/operations/__tests__/multiply.test.ts
@@ -1,10 +1,10 @@
-import multiply from ""../multiply"";
+import multiply from '../multiply';
 
-describe(""multiply"", () => {
-  it(""multiplies positive numbers"", () => {
+describe('multiply', () => {
+  it('multiplies positive numbers', () => {
     expect(multiply(10n, 20n, 30n)).toBe(6000n);
   });
-  it(""multiplies negative numbers"", () => {
+  it('multiplies negative numbers', () => {
     expect(multiply(-10n, -20n, -30n)).toBe(-6000n);
   });
 });
diff --git a/packages/core/src/calculator/bigint/operations/__tests__/percentage.test.ts b/packages/core/src/calculator/bigint/operations/__tests__/percentage.test.ts
index ef0b49b..6644f73 100644
--- a/packages/core/src/calculator/bigint/operations/__tests__/percentage.test.ts
+++ b/packages/core/src/calculator/bigint/operations/__tests__/percentage.test.ts
@@ -1,10 +1,10 @@
-import percentage from ""../percentage"";
+import percentage from '../percentage';
 
-describe(""percentage"", () => {
-  it(""calculates the percentage of a positive number"", () => {
+describe('percentage', () => {
+  it('calculates the percentage of a positive number', () => {
     expect(percentage(200n, 50n)).toBe(100n);
   });
-  it(""calculates the percentage of a negative number"", () => {
+  it('calculates the percentage of a negative number', () => {
     expect(percentage(-200n, 50n)).toBe(-100n);
   });
 });
diff --git a/packages/core/src/calculator/bigint/operations/__tests__/power.test.ts b/packages/core/src/calculator/bigint/operations/__tests__/power.test.ts
index 8a489fa..c83138a 100644
--- a/packages/core/src/calculator/bigint/operations/__tests__/power.test.ts
+++ b/packages/core/src/calculator/bigint/operations/__tests__/power.test.ts
@@ -1,10 +1,10 @@
-import power from ""../power"";
+import power from '../power';
 
-describe(""power"", () => {
-  it(""raises a positive number to the power of an exponent"", () => {
+describe('power', () => {
+  it('raises a positive number to the power of an exponent', () => {
     expect(power(2n, 3n)).toBe(8n);
   });
-  it(""raises a negative number to the power of an exponent"", () => {
+  it('raises a negative number to the power of an exponent', () => {
     expect(power(-2n, 3n)).toBe(-8n);
   });
 });
diff --git a/packages/core/src/calculator/bigint/operations/__tests__/subtract.test.ts b/packages/core/src/calculator/bigint/operations/__tests__/subtract.test.ts
index 1a31662..85c4959 100644
--- a/packages/core/src/calculator/bigint/operations/__tests__/subtract.test.ts
+++ b/packages/core/src/calculator/bigint/operations/__tests__/subtract.test.ts
@@ -1,10 +1,10 @@
-import subtract from ""../subtract"";
+import subtract from '../subtract';
 
-describe(""subtract"", () => {
-  it(""subtracts positive numbers"", () => {
+describe('subtract', () => {
+  it('subtracts positive numbers', () => {
     expect(subtract(1n, 2n, 3n)).toBe(-4n);
   });
-  it(""subtracts negative numbers"", () => {
+  it('subtracts negative numbers', () => {
     expect(subtract(-1n, -2n, -3n)).toBe(4n);
   });
 });
diff --git a/packages/core/src/calculator/bigint/operations/add.ts b/packages/core/src/calculator/bigint/operations/add.ts
index 4d8bc7f..56e60c1 100644
--- a/packages/core/src/calculator/bigint/operations/add.ts
+++ b/packages/core/src/calculator/bigint/operations/add.ts
@@ -1,4 +1,4 @@
-import { VariadicOperation } from ""@dinero.js/core"";
+import { VariadicOperation } from '@dinero.js/core';
 
 /**
  * Returns the sum of a set of bigints.
diff --git a/packages/core/src/calculator/bigint/operations/distribute.ts b/packages/core/src/calculator/bigint/operations/distribute.ts
index b0307c2..4c9a1c8 100644
--- a/packages/core/src/calculator/bigint/operations/distribute.ts
+++ b/packages/core/src/calculator/bigint/operations/distribute.ts
@@ -1,9 +1,10 @@
+/* eslint-disable functional/no-let, functional/no-loop-statement, functional/immutable-data, functional/no-expression-statement */
 import {
   add,
   subtract,
   multiply,
   divide,
-} from ""@dinero.js/core/calculator/bigint"";
+} from '@dinero.js/core/calculator/bigint';
 
 /**
  * Returns a bigint in distributed shares.
@@ -13,7 +14,7 @@ import {
  *
  * @returns The bigint distributed in shares.
  */
-const distribute = (value: bigint, ratios: bigint[]) => {
+const distribute = (value: bigint, ratios: ReadonlyArray<bigint>) => {
   const total = ratios.reduce((a, b) => add(a, b));
 
   if (total === 0n) {
diff --git a/packages/core/src/calculator/bigint/operations/divide.ts b/packages/core/src/calculator/bigint/operations/divide.ts
